dewpt,uv,wind_dir,ghi,dni,timestamp_utc,timestamp_local,ozone,clouds_hi,clouds_low,clouds_mid,ts,snow,rh,pop,solar_rad,snow_depth,slp,clouds,pres,dhi,precip,wind_gust_spd,weather,vis,temp,wind_spd,app_temp,wind_cdir_full,wind_cdir,datetime,pod
21.8,6,340,859.96,906.46,2023-09-13T18:00:00,2023-09-13T14:00:00,287,5,22,100,1694628000,0,66,0,148.45421,0,1013.5,31,1006.5,117.95,0,2.4,"{'code': 802, 'icon': 'c02d', 'description': 'Scattered clouds'}",28.592,28.8,1.6,31.6,north-northwest,NNW,2023-09-13:18,d
21.7,2.1,360,436.47,754.1,2023-09-13T21:00:00,2023-09-13T17:00:00,287.8,2,0,100,1694638800,0,66,0,104.887886,0,1012.5,34,1005.5,89.81,0,2.4,"{'code': 802, 'icon': 'c02d', 'description': 'Scattered clouds'}",32.992,28.7,1.6,31.4,north-northwest,NNW,2023-09-13:21,d
22,0,360,0,0,2023-09-14T00:00:00,2023-09-13T20:00:00,291.3,0,3,0,1694649600,0,86,0,0,0,1012,16,1005,0,0,2,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",22.096,24.5,1.2,25.2,north-northwest,NNW,2023-09-14:00,n
21.5,0,30,0,0,2023-09-14T03:00:00,2023-09-13T23:00:00,293,100,0,0,1694660400,0,97,0,0,0,1012.6,32,1005.5,0,0,1.6,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",18.992,22,1.2,22.8,north-northeast,NNE,2023-09-14:03,n
20.7,0,10,0,0,2023-09-14T06:00:00,2023-09-14T02:00:00,289.8,39,0,0,1694671200,0,98,0,0,0,1012.6,36,1005.5,0,0,2,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",14.6,21.1,1.2,21.8,north,N,2023-09-14:06,n
19.5,0,20,0,0,2023-09-14T09:00:00,2023-09-14T05:00:00,289,100,0,100,1694682000,0,96,0,0,0,1013.2,8,1006,0,0,4.4,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",16.592,20.1,2.8,20.7,north-northeast,NNE,2023-09-14:09,n
18.7,1,20,161.83,526.13,2023-09-14T12:00:00,2023-09-14T08:00:00,291.5,0,0,3,1694692800,0,92,0,153.48062,0,1015.2,57,1008,58.59,0,6.4,"{'code': 803, 'icon': 'c03d', 'description': 'Broken clouds'}",19.2,20,4.4,20.5,north-northeast,NNE,2023-09-14:12,d
18.5,4.5,30,729.37,870.75,2023-09-14T15:00:00,2023-09-14T11:00:00,296.3,0,6,0,1694703600,0,69,0,692.44696,0,1015.6,28,1008.5,110.61,0,7.2,"{'code': 802, 'icon': 'c02d', 'description': 'Scattered clouds'}",25.888,24.6,4.8,24.9,north-northeast,NNE,2023-09-14:15,d
18.6,7.2,20,855.72,905.76,2023-09-14T18:00:00,2023-09-14T14:00:00,292.8,0,27,0,1694714400,0,58,0,803.4022,0,1014,5,1007,117.76,0,7.2,"{'code': 801, 'icon': 'c02d', 'description': 'Few clouds'}",36.096,27.6,4.8,28.7,north-northeast,NNE,2023-09-14:18,d
17.5,2.4,20,431.28,751.63,2023-09-14T21:00:00,2023-09-14T17:00:00,291,0,100,0,1694725200,0,55,0,110.76323,0,1013.5,15,1006.5,89.39,0,6,"{'code': 801, 'icon': 'c02d', 'description': 'Few clouds'}",38.08,27.3,4,28.1,north-northeast,NNE,2023-09-14:21,d
16.7,0,20,0,0,2023-09-15T00:00:00,2023-09-14T20:00:00,288.8,1,53,0,1694736000,0,70,0,0,0,1014,11,1007,0,0,4.8,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",31.2,22.4,3.2,22.5,north-northeast,NNE,2023-09-15:00,n
16,0,30,0,0,2023-09-15T03:00:00,2023-09-14T23:00:00,294.3,60,4,0,1694746800,0,77,0,0,0,1015.1,13,1008,0,0,4,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",25.2,20.1,2.8,20.2,north-northeast,NNE,2023-09-15:03,n
14.2,0,20,0,0,2023-09-15T06:00:00,2023-09-15T02:00:00,295,0,1,4,1694757600,0,76,0,0,0,1015.2,15,1008,0,0,4,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",18.992,18.5,2.8,18.4,north-northeast,NNE,2023-09-15:06,n
11.8,0,10,0,0,2023-09-15T09:00:00,2023-09-15T05:00:00,296.3,5,0,1,1694768400,0,73,0,0,0,1016.2,2,1009,0,0,4.8,"{'code': 801, 'icon': 'c02n', 'description': 'Few clouds'}",18.592,16.7,3.2,16.7,north,N,2023-09-15:09,n
